,id,title,rating,user
0,29056083,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",0,0
1,11125,Digital Fortress,4,0
2,976,Deception Point,4,0
3,6411961,"The Lost Symbol (Robert Langdon, #3)",4,0
4,968,"The Da Vinci Code (Robert Langdon, #2)",4,0
5,960,"Angels & Demons (Robert Langdon, #1)",4,0
6,12615008,"Revolution 2020: Love, Corruption, Ambition",3,0
7,3320520,The 3 Mistakes of My Life,0,0
8,6969361,2 States: The Story of My Marriage,4,0
9,105576,Five Point Someone: What Not to Do at IIT,5,0
10,11084145,Steve Jobs,4,0
0,38617771,माधवी [Madhabi],0,3
1,44296388,ओ उब्बीरी...,0,3
2,15785079,The Fourth Political Theory,0,3
3,12158480,"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",5,3
0,21524210,O Sentido do Fim,0,4
1,7604870,Casas Assombradas,0,4
2,18386,The Death of Ivan Ilych,0,4
3,263180,Vampires: The Occult Truth,0,4
4,12505,The Idiot,0,4
5,77013,As I Lay Dying,0,4
6,19022,Valparaiso,3,4
7,37390,The Pat Hobby Stories,3,4
8,32829,"Journey to the Center of the Earth (Extraordinary Voyages, #3)",3,4
9,23534,Love Is a Dog from Hell,0,4
10,227463,A Clockwork Orange,0,4
11,252,"Sexus (The Rosy Crucifixion, #1)",0,4
12,5297,The Picture of Dorian Gray,0,4
13,5755175,"How to Get Along with Boys: Secrets, Advice & Wisdom From the 1940's",0,4
14,91746,Diary of a Genius,0,4
15,343,Perfume: The Story of a Murderer,4,4
0,30342581,"SpecOps (Expeditionary Force, #2)",4,5
1,15222,The Lord of the Rings: The Fellowship of the Ring: Visual Companion,5,5
2,36,The Lord of the Rings: Weapons and Warfare,5,5
3,1317181,"Harry Potter and the Order of the Phoenix (Harry Potter, #5, Part 1)",3,5
4,50617456,Glass World (Undying Mercenaries Series Book 13),5,5
5,52936679,Clone World (Undying Mercenaries Series Book 12),4,5
6,44794559,"Armor World (Undying Mercenaries, #11)",4,5
7,42194904,Storm World (Undying Mercenaries #10),4,5
8,39195757,Dark World (Undying Mercenaries #9),4,5
9,36549290,Blood World (Undying Mercenaries #8),4,5
10,34522945,"Rogue World (Undying Mercenaries, #7)",4,5
11,25237401,"Death World (Undying Mercenaries, #5)",4,5
12,29095379,"Home World (Undying Mercenaries, #6)",4,5
13,24422830,"Machine World (Undying Mercenaries, #4)",4,5
14,22853297,"Tech World (Undying Mercenaries, #3)",4,5
15,20947122,"Dust World (Undying Mercenaries, #2)",4,5
16,18600590,"Steel World (Undying Mercenaries, #1)",4,5
17,51490688,Star Force: Symbiosis (Star Force Universe Book 72),5,5
18,50608127,Star Force: The Powers That Be (Star Force Universe Book 71),5,5
19,42602653,Rogue Stars: 7 Novels of Space Exploration and Adventure,0,5
0,17825280,"The Aztlanian (Rithmatist, #2)",0,6
1,18752963,The Crown of Ptolemy (Percy Jackson & Kane Chronicles Crossover #3),0,6
2,6294,"Howl's Moving Castle (Howl's Moving Castle, #1)",0,6
3,25756608,Ms. Marvel (2014-2015) #1,0,6
4,8192675,Fruits Basket: The Complete Collection,0,6
5,22491282,"The Heroes of Olympus Books 1-4 CD Audiobook Bundle (The Heroes of Olympus, #1-4)",5,6
6,6405143,"A Wrinkle in Time (Time, #1)",0,6
7,7671562,"Ashes, Ashes (Ashes, Ashes, #1)",0,6
8,764347,"Unwind (Unwind, #1)",0,6
9,6633465,Christmas in Camelot (Magic Tree House #29),5,6
10,7159818,"Weird But True: 300 Outrageous Facts (Weird But True, #1)",5,6
11,1262545,Walk Two Moons,4,6
12,11293436,"National Geographic Kids Ultimate Weird but True: 1,000 Wild & Wacky Facts and Photos",5,6
13,2116977,Kids Draw Manga Monsters,3,6
14,6950364,"Drawing Manga Animals, Chibis, and Other Adorable Creatures",5,6
15,846517,"The Everything Creative Writing Book: All You Need to Know to Write a Novel, Play, Short Story, Screenplay, Poem, or Article",5,6
16,18705209,"The Blood of Olympus (The Heroes of Olympus, #5)",0,6
17,20829994,Percy Jackson's Greek Gods,0,6
18,17312201,"The Son of Sobek (Percy Jackson & Kane Chronicles Crossover, #1)",4,6
19,18752959,The Staff of Serapis (Percy Jackson & Kane Chronicles Crossover #2),5,6
0,53082356,More Miracle Than Bird,5,8
1,44587206,Bloomland,5,8
2,38589866,A Key to Treehouse Living,5,8
3,371707,Julius Winsome,4,8
4,7907211,The Spot,5,8
5,31869059,What to Do about the Solomons,0,8
6,18594515,The Last Illusion,0,8
7,137549,Spartina,5,8
8,15762186,"Benediction (Plainsong, #3)",5,8
